id.exposure;method;b;pval;Z;exposure;FDR;signific
ukb-b-2303;MR Egger;0.309833409693829;0.0315775722084828;2.14971743852547;BMI;0.505241155335725;.
ukb-b-2303;Weighted median;0.405638578205043;6.16318447791377e-08;5.41400093229793;BMI;2.46527379116551e-06;*
ukb-b-2303;Inverse variance weighted;0.457189266363002;1.89472841903713e-17;8.50007218178853;BMI;1.51578273522971e-15;*
ukb-b-2303;Simple mode;0.591532633852203;0.0106298248251896;2.55463811667521;BMI;0.212596496503793;.
ukb-b-2303;Weighted mode;0.569171174094636;0.000355861961370702;3.57082252824667;BMI;0.00948965230321873;*
ukb-b-10787;MR Egger;0.0416921068044662;0.621794343310675;0.493308896371039;Height;1;""
ukb-b-10787;Weighted median;-0.00628241292941941;0.913291303652022;-0.108888026487464;Height;1;""
ukb-b-10787;Inverse variance weighted;-0.078359273489587;0.0593161179537431;-1.88584297428222;Height;1;""
ukb-b-10787;Simple mode;0.163785205520681;0.379615036024888;0.878605825618639;Height;1;""
ukb-b-10787;Weighted mode;0.0703860459130405;0.563346089751888;0.57787859185961;Height;1;""
ukb-b-9405;MR Egger;0.566551312503649;0.00440760314842989;2.84741378204044;Waist circumference;0.0881520629685978;.
ukb-b-9405;Weighted median;0.514290590195662;9.81666390719234e-09;5.73386644794468;Waist circumference;3.92666556287693e-07;*
ukb-b-9405;Inverse variance weighted;0.541397326809266;6.0532161295453e-15;7.8028339816351;Waist circumference;4.84257290363624e-13;*
ukb-b-9405;Simple mode;0.632092114417644;0.0274639719854847;2.20485926152908;Waist circumference;0.439423551767755;.
ukb-b-9405;Weighted mode;0.654950088354522;0.000876099013851597;3.32756069724607;Waist circumference;0.0233626403693759;*
ieu-b-73;MR Egger;0.598844192302562;0.24014843142975;1.17461586942255;Alcohol;1;""
ieu-b-73;Weighted median;-0.0416881854956531;0.877129877168272;-0.154608615906198;Alcohol;1;""
ieu-b-73;Inverse variance weighted;0.167984120759;0.430250028635359;0.78876387235091;Alcohol;1;""
ieu-b-73;Simple mode;0.245290700592027;0.660384679460059;0.439382120651986;Alcohol;1;""
ieu-b-73;Weighted mode;-0.128926622502089;0.72193253266765;-0.35587719808548;Alcohol;1;""
ukb-b-223;MR Egger;-1.19929289643869;0.57356721213586;-0.56280567999252;Smoking;1;""
ukb-b-223;Weighted median;-0.494331825880082;0.370999246438489;-0.894603189134803;Smoking;1;""
ukb-b-223;Inverse variance weighted;-0.129699194771799;0.810492126011767;-0.239791204315635;Smoking;1;""
ukb-b-223;Simple mode;-1.36292259980484;0.290671691572388;-1.05664925657431;Smoking;1;""
ukb-b-223;Weighted mode;-1.2783703067028;0.179994995557271;-1.34077044250565;Smoking;1;""
ukb-b-4630;MR Egger;-0.00451017584372225;0.981360589777095;-0.0233631615838295;Neuroticism;1;""
ukb-b-4630;Weighted median;0.0218866775994868;0.614722181132916;0.503344362979069;Neuroticism;1;""
ukb-b-4630;Inverse variance weighted;0.020873550977897;0.572002890713323;0.565104201801532;Neuroticism;1;""
