id.exposure;method;b;pval;Z;exposure;FDR;signific
ukb-b-2303;MR Egger;0.314144431231406;0.00885710796350977;2.61752084028931;BMI;0.177142159270195;.
ukb-b-2303;Weighted median;0.405115639712442;8.48341840719814e-12;6.8301359753208;BMI;3.39336736287926e-10;*
ukb-b-2303;Inverse variance weighted;0.430958915808449;5.4109422002549e-24;10.1020316042331;BMI;4.32875376020392e-22;*
ukb-b-2303;Simple mode;0.524180096006319;0.028150809895012;2.19517830485715;BMI;0.450412958320192;.
ukb-b-2303;Weighted mode;0.524180096006319;0.00251028420901833;3.02209901618359;BMI;0.0669409122404888;.
ukb-b-10787;MR Egger;-0.030339421616056;0.639405091341524;-0.468530742983338;Height;1;""
ukb-b-10787;Weighted median;0.00778286544184593;0.861556136835182;0.174393608753534;Height;1;""
ukb-b-10787;Inverse variance weighted;-0.0252730438410861;0.41001330995307;-0.823870207907218;Height;1;""
ukb-b-10787;Simple mode;0.241131757889757;0.162304751752759;1.39736196155936;Height;1;""
ukb-b-10787;Weighted mode;0.0346191299971252;0.751118593543233;0.317164752671753;Height;1;""
ukb-b-9405;MR Egger;0.578839980594257;0.00109725833234636;3.26432342422638;Waist circumference;0.0219451666469273;*
ukb-b-9405;Weighted median;0.505637217469218;2.68221007836887e-10;6.31611469987153;Waist circumference;1.07288403134755e-08;*
ukb-b-9405;Inverse variance weighted;0.503928849580096;2.91005192138228e-17;8.45011934714692;Waist circumference;2.32804153710582e-15;*
ukb-b-9405;Simple mode;0.641493058053453;0.0197154175133969;2.33172016063525;Waist circumference;0.315446680214351;.
ukb-b-9405;Weighted mode;0.663670383967183;0.000518962552541553;3.470772978847;Waist circumference;0.0138390014011081;*
ieu-b-73;MR Egger;0.310667579192446;0.505147546196615;0.666412388456838;Alcohol;1;""
ieu-b-73;Weighted median;-0.0512600882837956;0.83750127417879;-0.205090684827458;Alcohol;1;""
ieu-b-73;Inverse variance weighted;0.0740076783774702;0.695219021723113;0.391782371099739;Alcohol;1;""
ieu-b-73;Simple mode;0.132201922217686;0.79651628312062;0.257858281086837;Alcohol;1;""
ieu-b-73;Weighted mode;-0.0587910433362366;0.852365811087653;-0.186100676913088;Alcohol;1;""
ukb-b-223;MR Egger;-1.56235207174759;0.38333511145711;-0.871767713448725;Smoking;1;""
ukb-b-223;Weighted median;-1.25720901698112;0.0150485941601119;-2.43120748427087;Smoking;1;.
ukb-b-223;Inverse variance weighted;-0.311472931532649;0.52470501439883;-0.636109560722749;Smoking;1;""
ukb-b-223;Simple mode;-1.58840196761608;0.180234001506224;-1.34003489183357;Smoking;1;""
ukb-b-223;Weighted mode;-1.54953254526611;0.104349971251324;-1.62412107337712;Smoking;1;""
ukb-b-4630;MR Egger;-0.0714941725790247;0.682718162100391;-0.40875677764687;Neuroticism;1;""
